MMSI,Timestamp,Distance(km),Speed(km/h)
228000000,27/01/2025 14:56:26,97.10513479653818,5826.308087792291
228000000,27/01/2025 14:56:28,97.11317163945556,5826.790298367334
228000000,27/01/2025 14:56:37,97.12564635733237,5827.538781439943
228000000,27/01/2025 14:56:39,97.13432734579258,5828.059640747555
228000000,27/01/2025 14:56:47,97.14526579766562,5828.715947859937
228000000,27/01/2025 14:56:48,97.15186410768706,5829.111846461224
228000000,27/01/2025 14:56:56,97.16207523580597,5829.724514148358
228000000,27/01/2025 14:56:59,97.17007918129696,5830.204750877818
228000000,27/01/2025 14:57:08,97.18385135229036,5831.031081137422
228000000,27/01/2025 14:57:09,97.18948174599446,5831.368904759667
228000000,27/01/2025 14:57:17,97.20030008988941,5832.018005393365
228000000,27/01/2025 14:57:28,97.22401112894462,5833.440667736678
228000000,27/01/2025 14:57:37,97.23642800942332,5834.1856805654
228000000,27/01/2025 14:57:39,97.24517313135739,5834.710387881443
228000000,27/01/2025 14:57:47,97.25710599643774,5835.426359786265
228000000,27/01/2025 14:57:48,97.26408643616814,5835.845186170089
228000000,27/01/2025 14:57:56,97.27453059470122,5836.471835682073
228000000,27/01/2025 14:58:00,97.28221954031214,5836.933172418729
228000000,27/01/2025 14:58:08,97.29624342558081,5837.774605534849
228000000,27/01/2025 14:58:09,97.30254072524654,5838.152443514793
228000000,27/01/2025 14:58:17,97.31420918413623,5838.852551048174
228000000,27/01/2025 14:58:28,97.33975807127094,5840.385484276257
228000000,27/01/2025 14:58:37,97.35054098153205,5841.032458891923
228000000,27/01/2025 14:58:39,97.35971682334443,5841.583009400666
228000000,27/01/2025 14:58:47,97.37169916433986,5842.301949860392
228000000,27/01/2025 14:58:48,97.37863705898818,5842.71822353929
228000000,27/01/2025 14:58:56,97.38981141402193,5843.388684841316
228000000,27/01/2025 14:59:00,97.39927267250607,5843.956360350365
228000000,27/01/2025 14:59:07,97.41316565969441,5844.789939581665
228000000,27/01/2025 14:59:09,97.42117599785747,5845.270559871448
228000000,27/01/2025 14:59:17,97.43449051368265,5846.069430820959
228000000,27/01/2025 14:59:28,97.4619741187748,5847.718447126488
228000000,27/01/2025 14:59:37,97.47357241085763,5848.414344651458
228000000,27/01/2025 14:59:39,97.48169128958143,5848.901477374886
228000000,27/01/2025 14:59:47,97.49447255648347,5849.668353389008
228000000,27/01/2025 14:59:49,97.50040919192143,5850.0245515152865
228000000,27/01/2025 14:59:56,97.51223723235924,5850.7342339415545
228000000,27/01/2025 15:00:00,97.51975499970526,5851.185299982316
228000000,27/01/2025 15:00:07,97.53438587204643,5852.063152322786
228000000,27/01/2025 15:00:08,97.54068388009577,5852.4410328057465
228000000,27/01/2025 15:00:17,97.55523184572856,5853.313910743714
228000000,27/01/2025 15:00:28,97.58285686391665,5854.971411834998
228000000,27/01/2025 15:00:37,97.59510578175751,5855.706346905451
228000000,27/01/2025 15:00:38,97.60359149210124,5856.215489526075
228000000,27/01/2025 15:00:47,97.61807784913016,5857.08467094781
228000000,27/01/2025 15:00:49,97.62759961746734,5857.655977048041
228000000,27/01/2025 15:00:56,97.64198118228134,5858.51887093688
228000000,27/01/2025 15:01:00,97.65039626923463,5859.023776154078
228000000,27/01/2025 15:01:07,97.66969360774016,5860.18161646441
228000000,27/01/2025 15:01:08,97.67607763768815,5860.564658261289
228000000,27/01/2025 15:01:17,97.69497438675658,5861.6984632053955
228000000,27/01/2025 15:01:28,97.73131848380427,5863.879109028257
228000000,27/01/2025 15:01:37,97.75066445354668,5865.0398672128
228000000,27/01/2025 15:01:38,97.7570284668004,5865.421708008024
228000000,27/01/2025 15:01:46,97.77722969700208,5866.6337818201255
228000000,27/01/2025 15:01:49,97.78426408131364,5867.055844878818
228000000,27/01/2025 15:01:56,97.80638776036908,5868.383265622145
228000000,27/01/2025 15:02:00,97.81347081362904,5868.808248817742
228000000,27/01/2025 15:02:07,97.83839804828733,5870.30388289724
228000000,27/01/2025 15:02:08,97.84430882350983,5870.65852941059
228000000,27/01/2025 15:02:27,97.89687747571833,5873.812648543099
228000000,27/01/2025 15:02:28,97.90431427129062,5874.258856277437
228000000,27/01/2025 15:02:37,97.92705937357557,5875.623562414535
228000000,27/01/2025 15:02:38,97.93550624882006,5876.130374929204
228000000,27/01/2025 15:02:46,97.95578822082396,5877.347293249438
228000000,27/01/2025 15:02:49,97.96504558127577,5877.902734876547
228000000,27/01/2025 15:02:56,97.98777061623943,5879.266236974366
228000000,27/01/2025 15:03:00,97.99587726500776,5879.752635900466
228000000,27/01/2025 15:03:07,98.02105024182788,5881.263014509673
